,level_0,index,FeatureName,title,Sentence,CS_SS,p/n,Ref
446,251,136,compression,canon powershot sx50 ,"the adjustments i do in acr are mostly sharpening (amount, radius, detail, and masking), nr (luminance and luminance detail), and sometimes clarity.in good light at iso 100, 200, and even 400, the results are sharp and clean.if you want to shoot jpegs, the smart auto mode does a great job of analyzing the camera's scene modes and tweaking the image just right.",SS,P,
447,252,137,compression,canon rebel t5i ,"noise and dynamic range are the same in raw, though noise in jpeg is a tick cleaner with the t4i and t5i.",SS,P,
448,253,138,compression,canon rebel t5i ,"post-production creates the bulk of the appeal of many photographs (e.g., instagram) and jpeg often lacks the requisite flexibility.",SS,P,
449,254,139,compression,canon sx30is,he said i might try using compressed air around the lens body to see if it would work.,SS,P,
450,255,140,compression,canon sx40 hs,who in there right mind would pay 400$ for a jpeg camera - i could have saved hundreds by buying a point and shoot.,SS,P,
451,256,141,compression,canon sx40 hs,firstly i want to say that the digic 5 processor does a fantastic job on the very fine jpeg setting.,SS,P,
452,257,142,compression,canon sx40 hs,"its staggering how good the combination of focusing, image stabilization and jpeg processing is at long tele settings.",SS,P,
453,258,143,compression,emerson go action cam 720p hd digital video camera pro grade 5 mp video with screen white,even in full bright light the still pictures have a blue-ish tint to it and very strong jpeg compression creates lots of weird artifacts.,SS,P,
454,259,144,compression,ex2f ,focusing is rater fast writing speed is not terrible (sony sd 94mb/s 32gb card) but on slowish side in raw+super fine jpeg5.,SS,P,
455,260,145,compression,ex2f ,"for now, it's an easy 5 stars for the excellent build, features, performance and value offered.2013/11/13 update: went back and took a careful look at the images i've accumulated and the jpeg quality.",SS,P,
456,261,146,compression,fuji finepix s3300,"what's in the box...* 4xaa type alkaline batteries* shoulder strap* usb-a / v cable* lens cap and lens cap cord* cd-rom* owner's manualrecording mediastill image: jpeg (exif ver 2.3)(design rule for camera file system compliant / dpof-compatible)movie: avi (motion jpeg )sound: wave format, monaural soundzoom ability* digital: approx.",SS,P,
457,262,147,compression,fujifilm finepix ax650 ,"one can also record any photo in either ""normal"" (1:8) or ""fine"" (1:4) image compression ratio for the jpeg files, which is a very nice feature.",SS,P,
458,263,148,compression,fujifilm finepix f300exr ,"the pictures look as if you took a normal jpeg file and saved it with 50% quality setting, no kidding here - at 100% zoom it's so bad the pictures are not usable.my uneducated guess is that this camera has software issues related to saving jpgs to the memory card.",SS,N,
459,264,149,compression,fujifilm finepix f300exr ,"gps, stereo sound recording, and the ability to record movies with some modern flavor of data compression, specifically avchd.",SS,P,
460,265,150,compression,fujifilm finepix f300exr ,"if you do, then i have a bridge to sell you.lastly, the modern video compression and the avchd recording format actually were and are things that i really cared/care about and want/wanted.",SS,P,
461,266,151,compression,fujifilm finepix f300exr ,this is definitely your fault for not writing the jpeg file in way so that it will have proper (gravity based?),SS,P,
462,267,152,compression,fujifilm finepix f300exr ,"i know they know which way is up, because in default factory settings on both, when i play back any jpeg that was shot ""portrait"" (vertical) it shows on the lcd in ``proper'' orientation, i.e.",SS,P,
463,268,153,compression,fujifilm finepix f300exr ,"checking online i found chats and blogs that indicated this was a problem with other users as well, and suggestions for owner repair ranged from banging the camera on a solid surface to using compressed air.",SS,P,
464,269,154,compression,fujifilm finepix f550exr ,the jpegs strike a nice balance between resolution and noise.,SS,N,
465,270,155,compression,fujifilm finepix f550exr ,so for the use that i had this was not good.i also found the image suffers from to much jpeg artifacting.,SS,N,
466,271,156,compression,fujifilm finepix f550exr ,this is a great camera  i don't think it is dslr but it is definitely good especially for a p and s i can see some grainyness in the photos but that is in jpg format which is compressed so i expect that.,SS,P,
467,272,157,compression,fujifilm finepix f550exr ,i used the raw and jpeg option so that i can have both ready to go.,SS,P,
468,273,158,compression,fujifilm finepix f550exr ,"the capability for raw and raw+jpeg files is a big benefit of this camera.video: april 24, 2011 update  2.9video quality is acceptable for a point/shoot camera.",SS,P,
469,274,159,compression,fujifilm finepix f770exr ,the jpeg pictures are pretty good though.,SS,P,
470,275,160,compression,fujifilm finepix f900exr,"having raw available is nice, the raw/jpeg option takes time to store and a lof of disk space.",SS,P,
471,276,161,compression,fujifilm finepix hs10 ,the instruction manual leaves a lot to be desired.jpegs are superb.,SS,P,
472,277,162,compression,fujifilm finepix hs10 ,"ultimately, i decided to shoot 90% jpegs, and for the 10% raw images i shoot, i process them initially through fuji's raw file converter into 16 bit tiffs, saving with the default settings (except maybe white balance) and open those tiffs in adobe camera raw prior to running them through photoshop if necessary.that being said, the camera is reasonably light and sturdy.",SS,P,
473,278,163,compression,fujifilm finepix hs20,there did not seem to be any post-shot lag vs. jpeg.,SS,N,
474,279,164,compression,fujifilm finepix hs20,"that is of course hampered by the annoying autofocus pause, however, and whether you're shooting in raw or jpeg and want to change settings or not.",SS,N,
475,280,165,compression,fujifilm finepix hs20,"although adobe support hs20 raw format, but it doesn't come with lens profile for hs20, so i had to create one myself (using adobe lens profile creator), the result is pretty close to jpeg out of box.",SS,P,
476,281,166,compression,fujifilm finepix hs20,the .jpeg engine in this camera's firmware is very good - it captures a pretty good range of tones with a fair bit of latitude at each end.,SS,P,
477,282,167,compression,fujifilm finepix hs20,i chose jpeg over jpeg fine as there seemed to be no difference perceptible to my eyes.i wanted to test the manual settings and did so as much as i could.,SS,P,
478,283,168,compression,fujifilm finepix hs20,"the actual picture viewed on a standard display appears ok.jpeg engine saves at 1/8 tiff size when set to ""fine"" (versus normal).",SS,P,
479,284,169,compression,fujifilm finepix hs35,i'm glad this camera is capable of shooting in raw and raw+jpeg and just has tons of features that i can experiment with.,SS,P,
480,285,170,compression,fujifilm finepix hs50,"the zoom feature maintains the photos' crisp quality, and doesn't distort.it takes excellent photos, with the option of saving them as raw and/or compressed files.",SS,P,
481,286,171,compression,fujifilm finepix hs50,"i'll say one thing for fuji, they do a fantastic job with color and with jpegs.",SS,P,
482,287,172,compression,fujifilm finepix hs50,if your not a huge fan of working with raw files (which this camera will do) then i think you will be pleasantly impressed with the camera's jpeg ability.,SS,P,
483,288,173,compression,fujifilm finepix jx680,"surprisingly, videos are also recorded in uncompressed avi format, which tends to be wasteful for storage.",SS,N,
484,289,174,compression,fujifilm finepix real 3d w3,"the video images are heavily compressed, that gives very poor images with  low contrast, no details, flat and blurring.",SS,N,
485,290,175,compression,fujifilm finepix real 3d w3,but you really do not need to....on default settings the camera saves a 2d .jpeg images every time it takes a 3d picture ..which can be turned off if you wish)  but what i mean is.. do not plan to buy it it to replace a 2d camera (unless your 2d camera is just really really really bad) but this is a great camera for 3d photos and some 3d video :-)no regrets!,SS,N,
486,291,176,compression,fujifilm finepix real 3d w3,"of course, the w3 can capture 2d photos and videos, and you can also capture 2d and 3d images simultaneously (the 2d image is the image from the left camera, or you can use the supplied fuji software to extract either the left or right image as a jpeg from the mpo 2-image 3d file).how does the w3 play in the world of 3d photography?",SS,P,
487,292,177,compression,fujifilm finepix real 3d w3,"this is fine--after you take the shots, you can adjust the l/r image separation and fix the effect so that it is corrected.the camera takes pictures in three formats: jpeg (2d), mpo (3d) and avi (side-by side 3d video, or normal video).",SS,P,
488,293,178,compression,fujifilm finepix real 3d w3,"the 3d images look great, and some are nothing short of astounding.also, there are many tools available that let you 'extract' two jpeg images from the mpo file and convert those into two images that can be viewed on a pc wearing those red-blue 3d glasses.",SS,P,
489,294,179,compression,fujifilm finepix real 3d w3,"it is easy to convert the .mpo file into two .jpeg files, a left and right image.",SS,P,
